,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff
508,mean_perimeter:q80-100  mean_radius:q80-100  mean_texture:q60-80,36,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,36,0.9026062440854072,36,,,36,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,,,q60-80,,-0.9742984704091507,,
509,mean_perimeter:q80-100  mean_radius:q80-100  mean_texture:q80-100,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,,,q80-100,,-0.9761354924359589,,
510,mean_perimeter:q20-40  mean_radius:q20-40  mean_texture:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,,,,,,q20-40,q20-40,,,q00-20,-0.9676654655133248,,,
511,mean_perimeter:q20-40  mean_radius:q20-40  mean_texture:q20-40,25,1.0,0.0,,0.0,24,,0.975,1.0,True,0.0,,,0,0.0,0,0.8575264022774187,,1,0,0.0,25,0.0,24,1,3,,,,,,q20-40,q20-40,,,q20-40,-0.9628813599403437,-1.0,,
512,mean_perimeter:q20-40  mean_radius:q20-40  mean_texture:q40-60,26,1.0,1.0,1.0,0.5,24,0.6666666666666666,0.987420882906321,1.0,True,0.6928203230275508,1.0,0.75,1,0.01257911709367899,1,0.8575264022774187,0.2600090038649865,2,0,0.5,25,0.0,24,1,3,,,,,,q20-40,q20-40,,,q40-60,-0.8963265451055127,-1.0,-1.0,-1.0
513,mean_perimeter:q40-60  mean_radius:q40-60  mean_texture:q00-20,20,1.0,1.0,,1.0,19,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.823533088192828,,1,0,1.0,19,0.0,19,0,3,,,,,,q40-60,q40-60,,,q00-20,-0.9544762202623868,-1.0,-1.0,
514,mean_perimeter:q40-60  mean_radius:q40-60  mean_texture:q20-40,31,0.9655172413793104,1.0,1.0,0.5,28,0.5,0.987420882906321,0.9991273531164029,True,0.46551724137931033,0.5,0.7327586206896551,2,0.01257911709367899,1,0.8223557045115856,0.2416037488148466,2,1,0.5,29,-0.0745868722684339,29,1,3,,,,,,q40-60,q40-60,,,q20-40,-0.9690287447211582,-1.0042831140196231,-1.0200798689399637,-0.8943740206808297
515,mean_perimeter:q40-60  mean_radius:q40-60  mean_texture:q60-80,21,1.0,1.0,1.0,0.7777777777777778,12,0.8750000000000001,0.9718550265221126,1.0,True,0.816496580927726,1.0,0.8888888888888888,7,0.3999064262836879,7,0.7353515306029488,0.744845075507327,9,0,0.7777777777777778,14,0.5471532477798317,12,2,3,,,,,,q40-60,q40-60,,,q60-80,-1.0,-1.0,-0.8311651429370972,-1.0
516,mean_perimeter:q60-80  mean_radius:q60-80  mean_texture:q60-80,25,1.0,1.0,1.0,0.9545454545454546,3,0.9767441860465117,0.9988498524734183,1.0,True,0.8461141122266493,1.0,0.9772727272727273,21,0.771555602332364,21,0.2924017738212867,0.9327280912604531,22,0,0.9545454545454546,4,0.0,3,1,3,,,,,,q60-80,q60-80,,,q60-80,-1.0,-0.9605894552607621,-1.0,-2.7556114621868835
517,mean_perimeter:q60-80  mean_radius:q60-80  mean_texture:q80-100,28,1.0,0.8699976471559738,0.9915715478053398,0.8181818181818182,6,0.9,0.9481327006875634,1.0,True,0.7006490497453707,1.0,0.9090909090909092,18,0.5971542169222595,18,0.5407418735600996,0.826610270376478,22,0,0.8181818181818182,10,0.5366666393949474,6,4,3,,,,,,q60-80,q60-80,,,q80-100,-1.0,-0.9571657699299475,-1.149635515793794,-1.072656525029228
518,mean_perimeter:q00-20  mean_radius:q00-20  mean_texture:q00-20,37,1.0,0.0,,,37,,,1.0,True,0.0,,,0,,0,0.9051094125850101,,0,0,,37,0.0,37,0,3,,,,,,q00-20,q00-20,,,q00-20,-0.9749413923563086,,,
519,mean_perimeter:q00-20  mean_radius:q00-20  mean_texture:q20-40,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,,,,,,q00-20,q00-20,,,q20-40,-1.0,,,
520,mean_perimeter:q00-20  mean_radius:q00-20  mean_texture:q40-60,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,,,,,,q00-20,q00-20,,,q40-60,-0.9229207656468693,,,
