,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno
13,"bmi:[25,30[",14829,0.714334354783793,0.7117908072666145,4195,10522,32,4307,True,10490,144,0.8427610960774533,112,0.7069521536047529,0.7460560662807855,14685,0.7010157787971286,0.7777777777777778,0.7803213252949565,0.7216315555610658,,,,"[25,30[",,,,,,,,
14,"bmi:[30,35[",11493,0.670963781461019,0.6376841485794477,3752,7678,27,3815,True,7651,90,0.7921181003136439,63,0.6622530910538457,0.6854818907305095,11403,0.5942787849570839,0.7,0.7332796328815713,0.6795871108738717,,,,"[30,35[",,,,,,,,
15,bmi:>=35,5572,0.7642468239564428,0.7751722689998951,1299,4219,8,1353,True,4211,62,0.9426099943929915,54,0.7528100893003656,0.8176072829459634,5510,0.761491863618324,0.8709677419354839,0.8600422968920317,0.7754030535718659,,,,>=35,,,,,,,,
16,bmi:4,3156,0.8123401534526854,0.6173793595264144,587,2552,11,604,True,2541,28,0.784957170839039,17,0.7982079880172606,0.7097415052977712,3128,0.40576820648754597,0.6071428571428571,0.8021036510691281,0.8258856755073188,,,,4,,,,,,,,
17,density:4,1969,0.8952234206471494,0.5681852507868059,204,1755,12,214,True,1743,22,0.6778952454468308,10,0.8807623973971339,0.674884437596302,1947,0.24386186592301654,0.45454545454545453,0.7815836244057981,0.9084811855231495,,,,,4,,,,,,,
18,density:2,16326,0.7283151470316257,0.7147416069817124,4407,11837,23,4489,True,11814,105,0.8557883214467661,82,0.7213983448425316,0.7546337639920033,16221,0.6896716096627632,0.780952380952381,0.7945259210022942,0.7351499943865167,,,,,2,,,,,,,
19,density:3,13585,0.6247481155310097,0.680885990545859,5028,8409,38,5176,True,8371,186,0.8511823451920352,148,0.6164860774050029,0.7102235201310962,13399,0.7305393621491072,0.7956989247311828,0.7395610497163337,0.6329559412325557,,,,,3,,,,,,,
20,density:1,3170,0.938588160810383,0.5876574197430531,194,2970,5,200,True,2965,11,0.8325119059362929,6,0.9296437332196391,0.7420213531324642,3159,0.23379359765934504,0.5454545454545454,0.8963852865218753,0.9467093457027431,,,,,1,,,,,,,
21,ethnicity:white,32039,0.6918883146350687,0.7065514774192934,9777,22026,71,10013,True,21955,307,0.8147286934455255,236,0.6867750709551517,0.7303089781644398,31732,0.7174612841270194,0.7687296416938111,0.7540664789095866,0.696966411409045,,,,,,white,,,,,,
22,ethnicity:Native_American,345,1.0,,0,345,1,0,True,344,1,0.975,0,0.9893338048277102,,344,0.0,0.0,,1.0,,,,,,Native_American,,,,,,
23,ethnicity:black,803,0.9899749373433584,0.5549169766210589,8,792,2,11,True,790,5,0.9472550494736843,3,0.9803426225333767,0.7949874686716792,798,0.14663279963467254,0.6,1.0,0.9956622333264327,,,,,,black,,,,,,
24,ethnicity:Asian/Pacific_Islander,1385,0.9687272727272728,0.6242671025293655,43,1336,4,49,True,1332,10,0.8784477418801728,6,0.9581052928334819,0.7843636363636364,1375,0.2623780766069451,0.6,0.9444601701979073,0.977277247523315,,,,,,Asian/Pacific_Islander,,,,,,
25,ethnicity:other/mixed,478,0.989517819706499,,5,472,0,6,True,472,1,1.0,1,0.9757086812210172,0.9947589098532496,477,0.025000000000000022,1.0,,0.9965879489891921,,,,,,other/mixed,,,,,,
