,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
690,mean_concave_points:q20-40  worst_radius:q20-40,38,-0.2550302309445931,0.5028744176826246,0.5028744176826246,,,q20-40,,,,,,,,,,,,,,q20-40,,,
691,mean_concave_points:q00-20  worst_radius:q00-20,59,-0.28836822864739114,0.5784313725490197,0.5784313725490197,,,q00-20,,,,,,,,,,,,,,q00-20,,,
692,mean_concave_points:q00-20  worst_radius:q20-40,36,-0.3234313112361893,0.5485720241817803,0.5485720241817803,,,q00-20,,,,,,,,,,,,,,q20-40,,,
693,mean_concave_points:q80-100  worst_smoothness:q80-100,47,-0.23379799461971143,-0.7452107279693486,-0.7452107279693486,,,q80-100,,,,,,,,,,,,,,,q80-100,,
694,mean_concave_points:q80-100  worst_smoothness:q60-80,32,-0.3885009310986965,-0.7266643389199255,-0.7266643389199255,,,q80-100,,,,,,,,,,,,,,,q60-80,,
695,mean_concave_points:q60-80  worst_smoothness:q80-100,37,0.45366795366795365,-0.548160942897785,-0.548160942897785,,,q60-80,,,,,,,,,,,,,,,q80-100,,
696,mean_concave_points:q60-80  worst_smoothness:q20-40,22,0.40892471331228186,-0.5502742230347349,-0.5502742230347349,,,q60-80,,,,,,,,,,,,,,,q20-40,,
697,mean_concave_points:q60-80  worst_smoothness:q60-80,28,0.28346976498547666,-0.479403221547399,-0.479403221547399,,,q60-80,,,,,,,,,,,,,,,q60-80,,
698,mean_concave_points:q40-60  worst_smoothness:q20-40,25,0.46911764705882353,0.3327205882352941,0.3327205882352941,,,q40-60,,,,,,,,,,,,,,,q20-40,,
699,mean_concave_points:q40-60  worst_smoothness:q60-80,27,0.11568949022823562,0.32656826568265684,0.32656826568265684,,,q40-60,,,,,,,,,,,,,,,q60-80,,
700,mean_concave_points:q40-60  worst_smoothness:q40-60,29,0.2616219667943806,0.3247765006385696,0.3247765006385696,,,q40-60,,,,,,,,,,,,,,,q40-60,,
701,mean_concave_points:q40-60  worst_smoothness:q00-20,22,0.34726607944158217,0.3382084095063985,0.3382084095063985,,,q40-60,,,,,,,,,,,,,,,q00-20,,
702,mean_concave_points:q20-40  worst_smoothness:q20-40,28,-0.1297200950620544,0.46520992870345923,0.46520992870345923,,,q20-40,,,,,,,,,,,,,,,q20-40,,
703,mean_concave_points:q20-40  worst_smoothness:q40-60,30,-0.2786023500309215,0.5659245516388374,0.5659245516388374,,,q20-40,,,,,,,,,,,,,,,q40-60,,
704,mean_concave_points:q20-40  worst_smoothness:q00-20,29,0.10453384418901661,0.40510855683269476,0.40510855683269476,,,q20-40,,,,,,,,,,,,,,,q00-20,,
