,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
977,mean_area:q80-100  worst_concave_points:q80-100  worst_smoothness:q60-80,22,-0.4906930363968755,-0.8171846435100548,-0.8171846435100548,q80-100,,,,,,,,,,,,q80-100,,,,,q60-80,,
978,mean_area:q00-20  worst_concave_points:q00-20  worst_smoothness:q00-20,22,-0.27447232840285857,0.5301645338208409,0.5301645338208409,q00-20,,,,,,,,,,,,q00-20,,,,,q00-20,,
979,mean_area:q60-80  worst_concave_points:q80-100  worst_smoothness:q80-100,21,-0.2533020507473062,-0.7244525547445255,-0.7244525547445255,q60-80,,,,,,,,,,,,q80-100,,,,,q80-100,,
980,mean_area:q80-100  worst_concave_points:q80-100  worst_symmetry:q80-100,26,-0.5565944184728715,-0.8363082589601927,-0.8363082589601927,q80-100,,,,,,,,,,,,q80-100,,,,,,q80-100,
981,mean_area:q60-80  worst_concave_points:q80-100  worst_symmetry:q80-100,20,-0.24790528233151185,-0.7431693989071039,-0.7431693989071039,q60-80,,,,,,,,,,,,q80-100,,,,,,q80-100,
982,mean_area:q80-100  worst_concave_points:q80-100  worst_texture:q60-80,22,-0.4906930363968755,-0.8354661791590493,-0.8354661791590493,q80-100,,,,,,,,,,,,q80-100,,,,,,,q60-80
983,mean_area:q80-100  worst_concave_points:q80-100  worst_texture:q80-100,22,-0.4906930363968755,-0.8354661791590493,-0.8354661791590493,q80-100,,,,,,,,,,,,q80-100,,,,,,,q80-100
984,mean_area:q80-100  worst_concavity:q80-100  worst_fractal_dimension:q80-100,21,-0.43361140076468546,-0.7954466458116093,-0.7954466458116093,q80-100,,,,,,,,,,,,,q80-100,q80-100,,,,,
985,mean_area:q20-40  worst_concavity:q00-20  worst_fractal_dimension:q00-20,20,-0.21612021857923497,0.4408014571948998,0.4408014571948998,q20-40,,,,,,,,,,,,,q00-20,q00-20,,,,,
986,mean_area:q60-80  worst_concavity:q80-100  worst_fractal_dimension:q80-100,25,0.15933823529411764,-0.6783088235294118,-0.6783088235294118,q60-80,,,,,,,,,,,,,q80-100,q80-100,,,,,
987,mean_area:q80-100  worst_concavity:q80-100  worst_perimeter:q80-100,47,-0.5011005135730008,-0.8407923697725606,-0.8407923697725606,q80-100,,,,,,,,,,,,,q80-100,,q80-100,,,,
988,mean_area:q80-100  worst_concavity:q60-80  worst_perimeter:q80-100,43,-0.27840657883101955,-0.7604562737642585,-0.7604562737642585,q80-100,,,,,,,,,,,,,q60-80,,q80-100,,,,
989,mean_area:q00-20  worst_concavity:q20-40  worst_perimeter:q00-20,28,-0.19850805386849749,0.5286506469500925,0.5286506469500925,q00-20,,,,,,,,,,,,,q20-40,,q00-20,,,,
990,mean_area:q00-20  worst_concavity:q00-20  worst_perimeter:q00-20,50,-0.3361849710982659,0.5900578034682081,0.5900578034682081,q00-20,,,,,,,,,,,,,q00-20,,q00-20,,,,
991,mean_area:q20-40  worst_concavity:q40-60  worst_perimeter:q20-40,20,-0.26848816029143896,0.48269581056466304,0.48269581056466304,q20-40,,,,,,,,,,,,,q40-60,,q20-40,,,,
992,mean_area:q20-40  worst_concavity:q20-40  worst_perimeter:q20-40,29,-0.3469987228607918,0.5421455938697318,0.5421455938697318,q20-40,,,,,,,,,,,,,q20-40,,q20-40,,,,
993,mean_area:q20-40  worst_concavity:q00-20  worst_perimeter:q20-40,24,-0.28784403669724773,0.4886085626911315,0.4886085626911315,q20-40,,,,,,,,,,,,,q00-20,,q20-40,,,,
994,mean_area:q40-60  worst_concavity:q20-40  worst_perimeter:q40-60,26,-0.109505595693441,0.47513812154696133,0.47513812154696133,q40-60,,,,,,,,,,,,,q20-40,,q40-60,,,,
995,mean_area:q60-80  worst_concavity:q80-100  worst_perimeter:q60-80,25,0.32669117647058826,-0.6783088235294118,-0.6783088235294118,q60-80,,,,,,,,,,,,,q80-100,,q60-80,,,,
996,mean_area:q60-80  worst_concavity:q40-60  worst_perimeter:q60-80,23,0.6676222328396242,-0.5274725274725275,-0.5274725274725275,q60-80,,,,,,,,,,,,,q40-60,,q60-80,,,,
997,mean_area:q60-80  worst_concavity:q60-80  worst_perimeter:q60-80,29,0.4646232439335888,-0.5722222222222222,-0.5722222222222222,q60-80,,,,,,,,,,,,,q60-80,,q60-80,,,,
998,mean_area:q80-100  worst_concavity:q80-100  worst_radius:q80-100,49,-0.48673469387755103,-0.8353610675039247,-0.8353610675039247,q80-100,,,,,,,,,,,,,q80-100,,,q80-100,,,
999,mean_area:q80-100  worst_concavity:q60-80  worst_radius:q80-100,44,-0.28523809523809524,-0.7619047619047619,-0.7619047619047619,q80-100,,,,,,,,,,,,,q60-80,,,q80-100,,,
1000,mean_area:q00-20  worst_concavity:q20-40  worst_radius:q00-20,29,-0.2053639846743295,0.5296296296296297,0.5296296296296297,q00-20,,,,,,,,,,,,,q20-40,,,q00-20,,,
1001,mean_area:q00-20  worst_concavity:q00-20  worst_radius:q00-20,50,-0.3361849710982659,0.5900578034682081,0.5900578034682081,q00-20,,,,,,,,,,,,,q00-20,,,q00-20,,,
1002,mean_area:q20-40  worst_concavity:q40-60  worst_radius:q20-40,22,-0.21306298820009972,0.4844606946983547,0.4844606946983547,q20-40,,,,,,,,,,,,,q40-60,,,q20-40,,,
1003,mean_area:q20-40  worst_concavity:q20-40  worst_radius:q20-40,29,-0.3469987228607918,0.5421455938697318,0.5421455938697318,q20-40,,,,,,,,,,,,,q20-40,,,q20-40,,,
1004,mean_area:q20-40  worst_concavity:q00-20  worst_radius:q20-40,26,-0.29508428955942767,0.49376682249610426,0.49376682249610426,q20-40,,,,,,,,,,,,,q00-20,,,q20-40,,,
1005,mean_area:q40-60  worst_concavity:q20-40  worst_radius:q40-60,25,-0.18654411764705883,0.4834558823529412,0.4834558823529412,q40-60,,,,,,,,,,,,,q20-40,,,q40-60,,,
1006,mean_area:q60-80  worst_concavity:q80-100  worst_radius:q60-80,26,0.2515228785947018,-0.7311233885819521,-0.7311233885819521,q60-80,,,,,,,,,,,,,q80-100,,,q60-80,,,
1007,mean_area:q60-80  worst_concavity:q40-60  worst_radius:q60-80,23,0.6676222328396242,-0.5274725274725275,-0.5274725274725275,q60-80,,,,,,,,,,,,,q40-60,,,q60-80,,,
1008,mean_area:q60-80  worst_concavity:q60-80  worst_radius:q60-80,27,0.44950116167828347,-0.5811808118081181,-0.5811808118081181,q60-80,,,,,,,,,,,,,q60-80,,,q60-80,,,
1009,mean_area:q80-100  worst_concavity:q80-100  worst_smoothness:q80-100,21,-0.532499131039277,-0.7735488355926312,-0.7735488355926312,q80-100,,,,,,,,,,,,,q80-100,,,,q80-100,,
1010,mean_area:q60-80  worst_concavity:q80-100  worst_smoothness:q80-100,22,-0.21098554096725944,-0.7257769652650823,-0.7257769652650823,q60-80,,,,,,,,,,,,,q80-100,,,,q80-100,,
1011,mean_area:q80-100  worst_concavity:q80-100  worst_symmetry:q80-100,24,-0.48180428134556574,-0.8188837920489297,-0.8188837920489297,q80-100,,,,,,,,,,,,,q80-100,,,,,q80-100,
1012,mean_area:q60-80  worst_concavity:q80-100  worst_symmetry:q80-100,21,-0.15441432047271464,-0.7043795620437956,-0.7043795620437956,q60-80,,,,,,,,,,,,,q80-100,,,,,q80-100,
1013,mean_area:q80-100  worst_concavity:q80-100  worst_texture:q80-100,20,-0.5128415300546448,-0.8214936247723132,-0.8214936247723132,q80-100,,,,,,,,,,,,,q80-100,,,,,,q80-100
1014,mean_area:q80-100  worst_fractal_dimension:q80-100  worst_perimeter:q80-100,23,-0.40715082019429844,-0.7573658225832138,-0.7573658225832138,q80-100,,,,,,,,,,,,,,q80-100,q80-100,,,,
1015,mean_area:q80-100  worst_fractal_dimension:q60-80  worst_perimeter:q80-100,31,-0.44040052764120396,-0.7825278810408922,-0.7825278810408922,q80-100,,,,,,,,,,,,,,q60-80,q80-100,,,,
1016,mean_area:q00-20  worst_fractal_dimension:q20-40  worst_perimeter:q00-20,22,-0.2986538141931195,0.5228519195612431,0.5228519195612431,q00-20,,,,,,,,,,,,,,q20-40,q00-20,,,,
1017,mean_area:q00-20  worst_fractal_dimension:q40-60  worst_perimeter:q00-20,29,-0.2053639846743295,0.5083652618135377,0.5083652618135377,q00-20,,,,,,,,,,,,,,q40-60,q00-20,,,,
1018,mean_area:q20-40  worst_fractal_dimension:q20-40  worst_perimeter:q20-40,21,-0.40093847758081336,0.5835940215502259,0.5835940215502259,q20-40,,,,,,,,,,,,,,q20-40,q20-40,,,,
1019,mean_area:q20-40  worst_fractal_dimension:q00-20  worst_perimeter:q20-40,20,-0.2679417122040073,0.4772313296903461,0.4772313296903461,q20-40,,,,,,,,,,,,,,q00-20,q20-40,,,,
1020,mean_area:q20-40  worst_fractal_dimension:q40-60  worst_perimeter:q20-40,21,-0.3381995133819951,0.5145985401459854,0.5145985401459854,q20-40,,,,,,,,,,,,,,q40-60,q20-40,,,,
1021,mean_area:q40-60  worst_fractal_dimension:q00-20  worst_perimeter:q40-60,20,0.19362477231329692,0.46994535519125685,0.46994535519125685,q40-60,,,,,,,,,,,,,,q00-20,q40-60,,,,
1022,mean_area:q60-80  worst_fractal_dimension:q80-100  worst_perimeter:q60-80,26,0.3323416914577136,-0.6611418047882136,-0.6611418047882136,q60-80,,,,,,,,,,,,,,q80-100,q60-80,,,,
1023,mean_area:q80-100  worst_fractal_dimension:q80-100  worst_radius:q80-100,23,-0.40715082019429844,-0.7573658225832138,-0.7573658225832138,q80-100,,,,,,,,,,,,,,q80-100,,q80-100,,,
1024,mean_area:q80-100  worst_fractal_dimension:q60-80  worst_radius:q80-100,31,-0.44040052764120396,-0.7825278810408922,-0.7825278810408922,q80-100,,,,,,,,,,,,,,q60-80,,q80-100,,,
1025,mean_area:q80-100  worst_fractal_dimension:q40-60  worst_radius:q80-100,20,-0.42295081967213116,-0.7423497267759562,-0.7423497267759562,q80-100,,,,,,,,,,,,,,q40-60,,q80-100,,,
1026,mean_area:q00-20  worst_fractal_dimension:q20-40  worst_radius:q00-20,22,-0.2986538141931195,0.5228519195612431,0.5228519195612431,q00-20,,,,,,,,,,,,,,q20-40,,q00-20,,,
1027,mean_area:q00-20  worst_fractal_dimension:q40-60  worst_radius:q00-20,30,-0.21181199752628324,0.5141620284477427,0.5141620284477427,q00-20,,,,,,,,,,,,,,q40-60,,q00-20,,,
1028,mean_area:q20-40  worst_fractal_dimension:q20-40  worst_radius:q20-40,20,-0.39280510018214937,0.5775956284153005,0.5775956284153005,q20-40,,,,,,,,,,,,,,q20-40,,q20-40,,,
1029,mean_area:q20-40  worst_fractal_dimension:q00-20  worst_radius:q20-40,21,-0.27337504344803615,0.479753215154675,0.479753215154675,q20-40,,,,,,,,,,,,,,q00-20,,q20-40,,,
1030,mean_area:q20-40  worst_fractal_dimension:q40-60  worst_radius:q20-40,22,-0.35457869370118,0.522020940668107,0.522020940668107,q20-40,,,,,,,,,,,,,,q40-60,,q20-40,,,
1031,mean_area:q40-60  worst_fractal_dimension:q00-20  worst_radius:q40-60,23,0.23546743111960503,0.49633699633699635,0.49633699633699635,q40-60,,,,,,,,,,,,,,q00-20,,q40-60,,,
1032,mean_area:q60-80  worst_fractal_dimension:q80-100  worst_radius:q60-80,25,0.2848529411764706,-0.6599264705882353,-0.6599264705882353,q60-80,,,,,,,,,,,,,,q80-100,,q60-80,,,
1033,mean_area:q60-80  worst_fractal_dimension:q60-80  worst_radius:q60-80,20,0.4057377049180328,-0.5792349726775956,-0.5792349726775956,q60-80,,,,,,,,,,,,,,q60-80,,q60-80,,,
1034,mean_area:q60-80  worst_fractal_dimension:q80-100  worst_smoothness:q80-100,20,-0.19608378870673954,-0.7231329690346083,-0.7231329690346083,q60-80,,,,,,,,,,,,,,q80-100,,,q80-100,,
1035,mean_area:q60-80  worst_fractal_dimension:q80-100  worst_symmetry:q80-100,23,0.17869087434304826,-0.6794871794871795,-0.6794871794871795,q60-80,,,,,,,,,,,,,,q80-100,,,,q80-100,
1036,mean_area:q80-100  worst_perimeter:q80-100  worst_radius:q80-100,102,-0.38907083175882773,-0.8565310492505354,-0.8565310492505354,q80-100,,,,,,,,,,,,,,,q80-100,q80-100,,,
1037,mean_area:q00-20  worst_perimeter:q00-20  worst_radius:q00-20,101,-0.20155284759245154,0.5148091732250148,0.5148091732250148,q00-20,,,,,,,,,,,,,,,q00-20,q00-20,,,
1038,mean_area:q20-40  worst_perimeter:q20-40  worst_radius:q20-40,78,-0.28176406078646404,0.5187477152853935,0.5187477152853935,q20-40,,,,,,,,,,,,,,,q20-40,q20-40,,,
1039,mean_area:q40-60  worst_perimeter:q40-60  worst_radius:q40-60,70,0.18044660750071573,0.39576295448038934,0.39576295448038934,q40-60,,,,,,,,,,,,,,,q40-60,q40-60,,,
1040,mean_area:q60-80  worst_perimeter:q60-80  worst_radius:q60-80,79,0.4460604494962542,-0.5877551020408164,-0.5877551020408164,q60-80,,,,,,,,,,,,,,,q60-80,q60-80,,,
1041,mean_area:q80-100  worst_perimeter:q80-100  worst_smoothness:q80-100,28,-0.48930551888038026,-0.7960786902561394,-0.7960786902561394,q80-100,,,,,,,,,,,,,,,q80-100,,q80-100,,
1042,mean_area:q80-100  worst_perimeter:q80-100  worst_smoothness:q20-40,20,-0.1942622950819672,-0.7285974499089253,-0.7285974499089253,q80-100,,,,,,,,,,,,,,,q80-100,,q20-40,,
1043,mean_area:q80-100  worst_perimeter:q80-100  worst_smoothness:q60-80,30,-0.5011750154607297,-0.8441558441558441,-0.8441558441558441,q80-100,,,,,,,,,,,,,,,q80-100,,q60-80,,
1044,mean_area:q80-100  worst_perimeter:q80-100  worst_smoothness:q40-60,20,-0.35737704918032787,-0.73224043715847,-0.73224043715847,q80-100,,,,,,,,,,,,,,,q80-100,,q40-60,,
1045,mean_area:q00-20  worst_perimeter:q00-20  worst_smoothness:q60-80,20,-0.22176684881602915,0.4245901639344262,0.4245901639344262,q00-20,,,,,,,,,,,,,,,q00-20,,q60-80,,
1046,mean_area:q00-20  worst_perimeter:q00-20  worst_smoothness:q40-60,22,-0.26192454711650326,0.5249293667940834,0.5249293667940834,q00-20,,,,,,,,,,,,,,,q00-20,,q40-60,,
1047,mean_area:q00-20  worst_perimeter:q00-20  worst_smoothness:q00-20,27,-0.24695913625802926,0.5276752767527675,0.5276752767527675,q00-20,,,,,,,,,,,,,,,q00-20,,q00-20,,
1048,mean_area:q20-40  worst_perimeter:q20-40  worst_smoothness:q00-20,21,-0.32281890858533197,0.479753215154675,0.479753215154675,q20-40,,,,,,,,,,,,,,,q20-40,,q00-20,,
1049,mean_area:q40-60  worst_perimeter:q40-60  worst_smoothness:q00-20,24,0.2907492354740061,0.47339449541284406,0.47339449541284406,q40-60,,,,,,,,,,,,,,,q40-60,,q00-20,,
1050,mean_area:q60-80  worst_perimeter:q60-80  worst_smoothness:q80-100,20,0.3482695810564663,-0.671311475409836,-0.671311475409836,q60-80,,,,,,,,,,,,,,,q60-80,,q80-100,,
1051,mean_area:q80-100  worst_perimeter:q80-100  worst_symmetry:q80-100,30,-0.5047619047619047,-0.8367965367965368,-0.8367965367965368,q80-100,,,,,,,,,,,,,,,q80-100,,,q80-100,
1052,mean_area:q80-100  worst_perimeter:q80-100  worst_symmetry:q40-60,21,-0.2514772332290581,-0.7682481751824818,-0.7682481751824818,q80-100,,,,,,,,,,,,,,,q80-100,,,q40-60,
1053,mean_area:q80-100  worst_perimeter:q80-100  worst_symmetry:q60-80,27,-0.4050840508405084,-0.7452507858411918,-0.7452507858411918,q80-100,,,,,,,,,,,,,,,q80-100,,,q60-80,
1054,mean_area:q00-20  worst_perimeter:q00-20  worst_symmetry:q40-60,25,-0.2586764705882353,0.5201470588235294,0.5201470588235294,q00-20,,,,,,,,,,,,,,,q00-20,,,q40-60,
1055,mean_area:q00-20  worst_perimeter:q00-20  worst_symmetry:q00-20,25,-0.2788970588235294,0.5330882352941176,0.5330882352941176,q00-20,,,,,,,,,,,,,,,q00-20,,,q00-20,
1056,mean_area:q00-20  worst_perimeter:q00-20  worst_symmetry:q60-80,22,-0.21273059664284527,0.4149908592321755,0.4149908592321755,q00-20,,,,,,,,,,,,,,,q00-20,,,q60-80,
1057,mean_area:q00-20  worst_perimeter:q00-20  worst_symmetry:q20-40,21,-0.2808481056656239,0.5217240180743831,0.5217240180743831,q00-20,,,,,,,,,,,,,,,q00-20,,,q20-40,
1058,mean_area:q20-40  worst_perimeter:q20-40  worst_symmetry:q40-60,23,-0.28300684822423955,0.4945054945054945,0.4945054945054945,q20-40,,,,,,,,,,,,,,,q20-40,,,q40-60,
1059,mean_area:q20-40  worst_perimeter:q20-40  worst_symmetry:q00-20,22,-0.18040551769985042,0.4789762340036563,0.4789762340036563,q20-40,,,,,,,,,,,,,,,q20-40,,,q00-20,
1060,mean_area:q40-60  worst_perimeter:q40-60  worst_symmetry:q00-20,21,0.20881126173096975,0.4708029197080292,0.4708029197080292,q40-60,,,,,,,,,,,,,,,q40-60,,,q00-20,
1061,mean_area:q40-60  worst_perimeter:q40-60  worst_symmetry:q20-40,20,0.3025500910746812,0.424408014571949,0.424408014571949,q40-60,,,,,,,,,,,,,,,q40-60,,,q20-40,
1062,mean_area:q60-80  worst_perimeter:q60-80  worst_symmetry:q80-100,26,0.33212919677008074,-0.6429380932143363,-0.6429380932143363,q60-80,,,,,,,,,,,,,,,q60-80,,,q80-100,
1063,mean_area:q80-100  worst_perimeter:q80-100  worst_texture:q40-60,25,-0.3275735294117647,-0.7596323529411765,-0.7596323529411765,q80-100,,,,,,,,,,,,,,,q80-100,,,,q40-60
1064,mean_area:q80-100  worst_perimeter:q80-100  worst_texture:q60-80,29,-0.4590676883780332,-0.8099616858237548,-0.8099616858237548,q80-100,,,,,,,,,,,,,,,q80-100,,,,q60-80
1065,mean_area:q80-100  worst_perimeter:q80-100  worst_texture:q80-100,36,-0.42922659995830725,-0.8240045861997082,-0.8240045861997082,q80-100,,,,,,,,,,,,,,,q80-100,,,,q80-100
1066,mean_area:q00-20  worst_perimeter:q00-20  worst_texture:q00-20,33,-0.26452962460425145,0.4427295341474446,0.4427295341474446,q00-20,,,,,,,,,,,,,,,q00-20,,,,q00-20
1067,mean_area:q00-20  worst_perimeter:q00-20  worst_texture:q20-40,30,-0.1847247990105133,0.419604205318491,0.419604205318491,q00-20,,,,,,,,,,,,,,,q00-20,,,,q20-40
1068,mean_area:q20-40  worst_perimeter:q20-40  worst_texture:q00-20,21,-0.4470802919708029,0.6604101494612443,0.6604101494612443,q20-40,,,,,,,,,,,,,,,q20-40,,,,q00-20
1069,mean_area:q20-40  worst_perimeter:q20-40  worst_texture:q20-40,22,-0.3611434269569553,0.5599135781951139,0.5599135781951139,q20-40,,,,,,,,,,,,,,,q20-40,,,,q20-40
1070,mean_area:q60-80  worst_perimeter:q60-80  worst_texture:q60-80,22,0.3480970583347183,-0.5648994515539305,-0.5648994515539305,q60-80,,,,,,,,,,,,,,,q60-80,,,,q60-80
1071,mean_area:q80-100  worst_radius:q80-100  worst_smoothness:q80-100,28,-0.48930551888038026,-0.7960786902561394,-0.7960786902561394,q80-100,,,,,,,,,,,,,,,,q80-100,q80-100,,
1072,mean_area:q80-100  worst_radius:q80-100  worst_smoothness:q20-40,20,-0.19608378870673954,-0.7285974499089253,-0.7285974499089253,q80-100,,,,,,,,,,,,,,,,q80-100,q20-40,,
1073,mean_area:q80-100  worst_radius:q80-100  worst_smoothness:q60-80,32,-0.5118715083798883,-0.839851024208566,-0.839851024208566,q80-100,,,,,,,,,,,,,,,,q80-100,q60-80,,
1074,mean_area:q80-100  worst_radius:q80-100  worst_smoothness:q40-60,20,-0.35737704918032787,-0.73224043715847,-0.73224043715847,q80-100,,,,,,,,,,,,,,,,q80-100,q40-60,,
1075,mean_area:q00-20  worst_radius:q00-20  worst_smoothness:q60-80,21,-0.18986791797010774,0.4051094890510949,0.4051094890510949,q00-20,,,,,,,,,,,,,,,,q00-20,q60-80,,
1076,mean_area:q00-20  worst_radius:q00-20  worst_smoothness:q40-60,24,-0.2707951070336391,0.5308103975535168,0.5308103975535168,q00-20,,,,,,,,,,,,,,,,q00-20,q40-60,,
1077,mean_area:q00-20  worst_radius:q00-20  worst_smoothness:q00-20,26,-0.24727298484204563,0.5267034990791897,0.5267034990791897,q00-20,,,,,,,,,,,,,,,,q00-20,q00-20,,
1078,mean_area:q20-40  worst_radius:q20-40  worst_smoothness:q60-80,21,-0.29874869655891556,0.512078554049357,0.512078554049357,q20-40,,,,,,,,,,,,,,,,q20-40,q60-80,,
1079,mean_area:q20-40  worst_radius:q20-40  worst_smoothness:q00-20,22,-0.3256606282200432,0.48288183480139607,0.48288183480139607,q20-40,,,,,,,,,,,,,,,,q20-40,q00-20,,
1080,mean_area:q40-60  worst_radius:q40-60  worst_smoothness:q40-60,20,0.16411657559198542,0.45091074681238613,0.45091074681238613,q40-60,,,,,,,,,,,,,,,,q40-60,q40-60,,
1081,mean_area:q40-60  worst_radius:q40-60  worst_smoothness:q00-20,22,0.26998504237992355,0.5155393053016454,0.5155393053016454,q40-60,,,,,,,,,,,,,,,,q40-60,q00-20,,
1082,mean_area:q60-80  worst_radius:q60-80  worst_smoothness:q80-100,23,0.26931039974518234,-0.6817964644051601,-0.6817964644051601,q60-80,,,,,,,,,,,,,,,,q60-80,q80-100,,
1083,mean_area:q60-80  worst_radius:q60-80  worst_smoothness:q20-40,22,0.6727605118829981,-0.4643510054844607,-0.4643510054844607,q60-80,,,,,,,,,,,,,,,,q60-80,q20-40,,
1084,mean_area:q80-100  worst_radius:q80-100  worst_symmetry:q80-100,31,-0.47385777671183593,-0.8053723468041731,-0.8053723468041731,q80-100,,,,,,,,,,,,,,,,q80-100,,q80-100,
1085,mean_area:q80-100  worst_radius:q80-100  worst_symmetry:q40-60,21,-0.2533020507473062,-0.7682481751824818,-0.7682481751824818,q80-100,,,,,,,,,,,,,,,,q80-100,,q40-60,
1086,mean_area:q80-100  worst_radius:q80-100  worst_symmetry:q60-80,27,-0.4050840508405084,-0.7452507858411918,-0.7452507858411918,q80-100,,,,,,,,,,,,,,,,q80-100,,q60-80,
1087,mean_area:q00-20  worst_radius:q00-20  worst_symmetry:q40-60,25,-0.2586764705882353,0.5201470588235294,0.5201470588235294,q00-20,,,,,,,,,,,,,,,,q00-20,,q40-60,
1088,mean_area:q00-20  worst_radius:q00-20  worst_symmetry:q00-20,26,-0.2842470604901544,0.5340699815837937,0.5340699815837937,q00-20,,,,,,,,,,,,,,,,q00-20,,q00-20,
1089,mean_area:q00-20  worst_radius:q00-20  worst_symmetry:q60-80,23,-0.18840579710144928,0.4157509157509158,0.4157509157509158,q00-20,,,,,,,,,,,,,,,,q00-20,,q60-80,
1090,mean_area:q00-20  worst_radius:q00-20  worst_symmetry:q20-40,21,-0.23140424052832811,0.47228015293708725,0.47228015293708725,q00-20,,,,,,,,,,,,,,,,q00-20,,q20-40,
1091,mean_area:q20-40  worst_radius:q20-40  worst_symmetry:q40-60,22,-0.3256606282200432,0.4977563569885325,0.4977563569885325,q20-40,,,,,,,,,,,,,,,,q20-40,,q40-60,
1092,mean_area:q20-40  worst_radius:q20-40  worst_symmetry:q00-20,21,-0.21828293361140078,0.4781021897810219,0.4781021897810219,q20-40,,,,,,,,,,,,,,,,q20-40,,q00-20,
1093,mean_area:q20-40  worst_radius:q20-40  worst_symmetry:q20-40,20,-0.37723132969034606,0.553096539162113,0.553096539162113,q20-40,,,,,,,,,,,,,,,,q20-40,,q20-40,
1094,mean_area:q40-60  worst_radius:q40-60  worst_symmetry:q20-40,22,0.3131128469336879,0.4259597806215722,0.4259597806215722,q40-60,,,,,,,,,,,,,,,,q40-60,,q20-40,
1095,mean_area:q60-80  worst_radius:q60-80  worst_symmetry:q80-100,27,0.25946426130927974,-0.6456197895312287,-0.6456197895312287,q60-80,,,,,,,,,,,,,,,,q60-80,,q80-100,
1096,mean_area:q80-100  worst_radius:q80-100  worst_texture:q40-60,26,-0.3362374273976484,-0.7626434339141521,-0.7626434339141521,q80-100,,,,,,,,,,,,,,,,q80-100,,,q40-60
1097,mean_area:q80-100  worst_radius:q80-100  worst_texture:q60-80,30,-0.4307977736549165,-0.7774891774891775,-0.7774891774891775,q80-100,,,,,,,,,,,,,,,,q80-100,,,q60-80
1098,mean_area:q80-100  worst_radius:q80-100  worst_texture:q80-100,37,-0.43324527535053853,-0.8188376346271083,-0.8188376346271083,q80-100,,,,,,,,,,,,,,,,q80-100,,,q80-100
1099,mean_area:q00-20  worst_radius:q00-20  worst_texture:q00-20,33,-0.26452962460425145,0.4427295341474446,0.4427295341474446,q00-20,,,,,,,,,,,,,,,,q00-20,,,q00-20
1100,mean_area:q00-20  worst_radius:q00-20  worst_texture:q20-40,30,-0.1847247990105133,0.419604205318491,0.419604205318491,q00-20,,,,,,,,,,,,,,,,q00-20,,,q20-40
1101,mean_area:q20-40  worst_radius:q20-40  worst_texture:q00-20,22,-0.44864550440418816,0.6638690377264418,0.6638690377264418,q20-40,,,,,,,,,,,,,,,,q20-40,,,q00-20
1102,mean_area:q20-40  worst_radius:q20-40  worst_texture:q20-40,23,-0.32473323777671603,0.5197483675744545,0.5197483675744545,q20-40,,,,,,,,,,,,,,,,q20-40,,,q20-40
1103,mean_area:q60-80  worst_radius:q60-80  worst_texture:q60-80,23,0.31000159261028826,-0.5366300366300366,-0.5366300366300366,q60-80,,,,,,,,,,,,,,,,q60-80,,,q60-80
1104,mean_area:q60-80  worst_radius:q60-80  worst_texture:q80-100,20,0.34444444444444444,-0.5701275045537341,-0.5701275045537341,q60-80,,,,,,,,,,,,,,,,q60-80,,,q80-100
1105,mean_compactness:q80-100  mean_concave_points:q80-100  mean_concavity:q80-100,75,-0.23786774628879892,-0.7874493927125507,-0.7874493927125507,,q80-100,q80-100,q80-100,,,,,,,,,,,,,,,,
1106,mean_compactness:q20-40  mean_concave_points:q20-40  mean_concavity:q20-40,29,-0.23773946360153256,0.5058109833971903,0.5058109833971903,,q20-40,q20-40,q20-40,,,,,,,,,,,,,,,,
1107,mean_compactness:q60-80  mean_concave_points:q60-80  mean_concavity:q60-80,39,0.28345428156748914,-0.5320754716981132,-0.5320754716981132,,q60-80,q60-80,q60-80,,,,,,,,,,,,,,,,
1108,mean_compactness:q40-60  mean_concave_points:q40-60  mean_concavity:q40-60,28,0.2909294956429892,0.35489833641404805,0.35489833641404805,,q40-60,q40-60,q40-60,,,,,,,,,,,,,,,,
1109,mean_compactness:q00-20  mean_concave_points:q00-20  mean_concavity:q00-20,69,-0.26753623188405795,0.5635072463768116,0.5635072463768116,,q00-20,q00-20,q00-20,,,,,,,,,,,,,,,,
1110,mean_compactness:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q80-100,30,0.14879406307977736,-0.7272727272727273,-0.7272727272727273,,q80-100,q80-100,,q80-100,,,,,,,,,,,,,,,
1111,mean_compactness:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q40-60,20,-0.4577413479052823,-0.7668488160291439,-0.7668488160291439,,q80-100,q80-100,,q40-60,,,,,,,,,,,,,,,
1112,mean_compactness:q80-100  mean_concave_points:q60-80  mean_fractal_dimension:q80-100,26,0.7626434339141521,-0.5524861878453039,-0.5524861878453039,,q80-100,q60-80,,q80-100,,,,,,,,,,,,,,,
